"Indeks","IndeksSkanu","IndeksZlecenia","IndeksDodatka","Duplicated"
783893,795182,313279,,0
783894,795183,313364,,0
783895,795184,313365,,0
783896,795185,313367,,0
783897,795186,313368,,0
783898,795187,313385,,0
783899,795189,313369,,0
783900,795190,313370,,0
783901,795191,313371,,0
783902,795192,313372,,0
783903,795193,313383,,0
783904,795194,313337,,0
783906,795196,313338,,0
783908,795198,313339,,0
783910,795200,313384,,0
783912,795202,313337,,1
783914,795204,313338,,1
783915,795207,313385,,1
783917,795209,313339,,1
783920,795213,313340,,0
783921,795214,313341,,0
783922,795216,313379,,0
783923,795218,313346,,0
783924,795220,313346,,1
783925,795222,313337,,1
783926,795224,313379,,1
783929,795228,313338,,1
783932,795231,313339,,1
783934,795233,313340,,1
783936,795235,313341,,1
783940,795241,313342,,0
783942,795244,313378,,0
783944,795248,313378,,1
783945,795250,313343,,0
783946,795251,313385,,1
783947,795253,313346,,1
783948,795254,313384,,1
783949,795255,313347,,0
783950,795257,313348,,0
783953,795261,313337,,1
783955,795263,313338,,1
783962,795274,313339,,1
783969,795289,313385,,1
783971,795292,313347,,1
783972,795293,313378,,1
783973,795295,313348,,1
783976,795298,313385,,1
783978,795301,313379,,1
783979,795303,313378,,1
783981,795306,313379,,1
783984,795310,313384,,1
783987,795316,313349,,0
783990,795319,313350,,0
783992,795321,313340,,1
783994,795323,313341,,1
783999,795335,313344,,0
784001,795337,313351,,0
784003,795339,313383,,1
784004,795340,313352,,0
784005,795342,313347,,1
784008,795345,313348,,1
784009,795346,313383,,1
784010,795348,313340,,1
784011,795349,313341,,1
784012,795350,313342,,1
784014,795352,313349,,1
784015,795353,313350,,1
784016,795354,313353,,0
784020,795358,313354,,0
784022,795360,313343,,1
784023,795361,313345,,0
784027,795368,313342,,1
784028,795369,313381,,0
784031,795375,313351,,1
784033,795379,313352,,1
784035,795383,313353,,1
784039,795387,313382,,0
784043,795395,313354,,1
784050,795410,313342,,1
784051,795411,313344,,1
784052,795412,313345,,1
784053,795413,313349,,1
784055,795415,313350,,1
784057,795417,313346,,1
784059,795419,313347,,1
784060,795420,313351,,1
784061,795421,313343,,1
784062,795423,313344,,1
784063,795424,313376,,0
784064,795426,313376,,1
784065,795428,313345,,1
784066,795429,313376,,1
784067,795431,313348,,1
784068,795432,313349,,1
784069,795433,313350,,1
784070,795434,313351,,1
784072,795436,313352,,1
784073,795437,313343,,1
784074,795438,313344,,1
784076,795440,313345,,1
784077,795441,313352,,1
784078,795442,313353,,1
784079,795443,313353,,1
784081,795446,313380,,0
784082,795448,313380,,1
784083,795449,313354,,1
784084,795450,313380,,1
784085,795451,313354,,1
784086,795452,313380,,1
784087,795453,313377,,0
784088,795456,313377,,1
784089,795458,313377,,1
784090,795459,313377,,1
784092,795462,313355,,0
784093,795463,313356,,0
784094,795464,313364,,1
784095,795465,313375,,0
784096,795467,313364,,1
784097,795468,313364,,1
784098,795469,313357,,0
784099,795470,313358,,0
784101,795472,313364,,1
784102,795473,313375,,1
784103,795474,313365,,1
784105,795476,313366,,0
784106,795477,313359,,0
784107,795478,313355,,1
784108,795479,313365,,1
784110,795481,313365,,1
784111,795482,313367,,1
784112,795483,313356,,1
784113,795484,313357,,1
784115,795486,313366,,1
784116,795487,313368,,1
784117,795489,313366,,1
784118,795490,313360,,0
784121,795493,313358,,1
784122,795494,313367,,1
784123,795495,313367,,1
784125,795497,313373,,0
784126,795499,313369,,1
784127,795502,313355,,1
784129,795505,313356,,1
784130,795507,313365,,1
784131,795508,313370,,1
784132,795509,313371,,1
784133,795510,313361,,0
784135,795512,313362,,0
784136,795513,313368,,1
784137,795515,313368,,1
784138,795516,313373,,1
784139,795518,313369,,1
784140,795519,313359,,1
784141,795520,313373,,1
784142,795521,313360,,1
784143,795522,313366,,1
784145,795524,313370,,1
784147,795526,313371,,1
784149,795528,313363,,0
784153,795532,313367,,1
784154,795533,313368,,1
784155,795534,313369,,1
784156,795535,313372,,1
784157,795536,313357,,1
784158,795537,313355,,1
784159,795538,313358,,1
784160,795539,313359,,1
784161,795540,313356,,1
784162,795541,313357,,1
784163,795542,313358,,1
784165,795544,313359,,1
784166,795545,313360,,1
784168,795547,313361,,1
784169,795548,313362,,1
784170,795549,313374,,0
784171,795553,313374,,1
784172,795554,313374,,1
784177,795560,313370,,1
784178,795561,313371,,1
784179,795562,313394,,0
784180,795564,313394,,1
784181,795566,313372,,1
784182,795567,313395,,0
784183,795568,313369,,1
784185,795570,313394,,1
784186,795572,313390,,0
784187,795574,313370,,1
784188,795575,313397,,0
784189,795576,313360,,1
784190,795577,313395,,1
784191,795578,313361,,1
784192,795580,313398,,0
784193,795581,313361,,1
784194,795586,313398,,1
784195,795588,313371,,1
784196,795589,313395,,1
784197,795590,313372,,1
784198,795592,313396,,0
784199,795594,313372,,1
784200,795595,313397,,1
784201,795597,313394,,1
784203,795601,313363,,1
784205,795603,313396,,1
784206,795605,313362,,1
784207,795606,313398,,1
784208,795608,313363,,1
784209,795609,313390,,1
784210,795612,313390,,1
784211,795613,313362,,1
784212,795616,313391,,0
784214,795619,313363,,1
784215,795620,313397,,1
784216,795622,313390,,1
784217,795626,313391,,1
784218,795627,313392,,0
784219,795629,313391,,1
784220,795631,313392,,1
784221,795633,313392,,1
784222,795636,313397,,1
784223,795638,313391,,1
784225,795642,313392,,1
784227,795645,313396,,1
784228,795647,313393,,0
784229,795649,313396,,1
784244,795667,313426,,0
784245,795668,313387,,0
784246,795670,313427,,0
784247,795671,313387,,1
784248,795673,313428,,0
784250,795675,313429,,0
784251,795676,313430,,0
784252,795677,313389,,0
784253,795678,313431,,0
784262,795687,313432,,0
784265,795691,313433,,0
784266,795692,313434,,0
784267,795693,313389,,1
784268,795695,313389,,1
784269,795696,313387,,1
784270,795698,313417,,0
784273,795702,313418,,0
784274,795703,313419,,0
784275,795704,313420,,0
784276,795705,313421,,0
784277,795706,313388,,0
784278,795707,313417,,1
784281,795711,313388,,1
784283,795714,313417,,1
784284,795715,313386,,0
784285,795716,313418,,1
784286,795718,313426,,1
784287,795719,313426,,1
784288,795721,313386,,1
784290,795724,313427,,1
784291,795725,313388,,1
784292,795727,313418,,1
784293,795728,313419,,1
784294,795729,313427,,1
784295,795730,313426,,1
784296,795731,313427,,1
784299,795734,313420,,1
784303,795738,313421,,1
784304,795739,313388,,1
784305,795740,313428,,1
784306,795742,313386,,1
784307,795743,313386,,1
784308,795745,313428,,1
784309,795746,313429,,1
784310,795747,313393,,1
784312,795749,313417,,1
784313,795750,313418,,1
784315,795752,313426,,1
784316,795753,313428,,1
784320,795758,313430,,1
784321,795759,313419,,1
784322,795760,313420,,1
784323,795761,313429,,1
784324,795762,313431,,1
784325,795763,313432,,1
784327,795765,313421,,1
784329,795767,313422,,0
784330,795768,313427,,1
784331,795769,313433,,1
784332,795770,313434,,1
784334,795772,313422,,1
784335,795773,313423,,0
784337,795775,313424,,0
784340,795779,313430,,1
784341,795780,313428,,1
784342,795781,313429,,1
784343,795782,313423,,1
784344,795783,313424,,1
784345,795784,313419,,1
784346,795785,313429,,1
784347,795786,313430,,1
784349,795788,313430,,1
784350,795789,313420,,1
784352,795792,313421,,1
784354,795794,313422,,1
784355,795795,313431,,1
784357,795797,313432,,1
784361,795802,313431,,1
784362,795803,313422,,1
784363,795804,313423,,1
784364,795805,313425,,0
784365,795806,313431,,1
784366,795807,313433,,1
784367,795808,313432,,1
784368,795809,313423,,1
784369,795810,313424,,1
784370,795811,313425,,1
784371,795812,313432,,1
784372,795813,313433,,1
784373,795814,313433,,1
784374,795815,313425,,1
784375,795816,313424,,1
784376,795817,313425,,1
784377,795818,313434,,1
784379,795820,313434,,1
784381,795822,313434,,1
784382,795823,313399,,0
784383,795824,313440,,0
784384,795826,313400,,0
784385,795827,313440,,1
784386,795828,313401,,0
784387,795830,313399,,1
784388,795831,313437,,0
784389,795833,313437,,1
784390,795836,313400,,1
784391,795837,313438,,0
784392,795839,313401,,1
784393,795840,313438,,1
784394,795841,313438,,1
784395,795843,313438,,1
784396,795846,313402,,0
784397,795847,313403,,0
784398,795848,313408,,0
784400,795850,313408,,1
784401,795851,313399,,1
784402,795852,313400,,1
784403,795853,313437,,1
784404,795855,313401,,1
784405,795856,313440,,1
784406,795858,313402,,1
784407,795859,313403,,1
784408,795860,313404,,0
784409,795861,313405,,0
784410,795862,313408,,1
784411,795863,313409,,0
784412,795864,313410,,0
784413,795865,313399,,1
784414,795866,313400,,1
784416,795868,313401,,1
784417,795869,313409,,1
784418,795870,313410,,1
784419,795871,313411,,0
784421,795873,313412,,0
784422,795874,313440,,1
784423,795875,313402,,1
784424,795877,313437,,1
784425,795880,313440,,1
784426,795881,313403,,1
784427,795882,313406,,0
784428,795883,313413,,0
784429,795885,313414,,0
784430,795886,313439,,0
784431,795888,313439,,1
784432,795889,313409,,1
784433,795890,313439,,1
784434,795892,313435,,0
784435,795893,313410,,1
784436,795894,313435,,1
784437,795896,313436,,0
784438,795899,313436,,1
784439,795901,313436,,1
784440,795903,313436,,1
784441,795904,313402,,1
784442,795910,313403,,1
784444,795912,313404,,1
784445,795913,313435,,1
784446,795915,313435,,1
784447,795916,313411,,1
784448,795919,313412,,1
784449,795920,313439,,1
784450,795921,313415,,0
784451,795922,313416,,0
784452,795923,313442,,0
784453,795927,313442,,1
784454,795928,313442,,1
784470,795947,313405,,1
784471,795948,313373,,0
784472,795949,313407,,0
784473,795950,313442,,1
784475,795953,313404,,1
784477,795955,313413,,1
784479,795957,313377,,0
784480,795958,313414,,1
784481,795959,313415,,1
784482,795960,313416,,1
784483,795961,313375,,0
784484,795962,313404,,1
784485,795963,313406,,1
784486,795964,313407,,1
784487,795965,313411,,1
784488,795966,313412,,1
784489,795967,313408,,1
784490,795968,313409,,1
784491,795969,313413,,1
784492,795970,313405,,1
784493,795971,313406,,1
784494,795972,313441,,0
784495,795974,313441,,1
784496,795975,313407,,1
784499,795978,313410,,1
784500,795979,313411,,1
784501,795980,313412,,1
784502,795981,313413,,1
784503,795982,313441,,1
784504,795987,313414,,1
784507,795990,313405,,1
784508,795991,313406,,1
784510,795994,313407,,1
784511,795995,313414,,1
784513,795998,313415,,1
784516,796002,313415,,1
784517,796003,313416,,1
784519,796006,313416,,1
784531,796026,313359,,0
784538,796033,313360,,0
784539,796035,313361,,0
784540,796037,313384,,0
784542,796039,313356,,0
784544,796041,313358,,0
784550,796047,313355,,0
784558,796054,313357,,0
784563,796059,313362,,0
784581,796084,313363,,0
784587,796089,313382,,0
784590,796093,313364,,0
784597,796101,313388,,0
784598,796102,313386,,0
784605,796111,313383,,0
784628,796137,313365,,0
784629,796138,313460,,0
784630,796142,313461,,0
784633,796146,313464,,0
784634,796147,313464,,1
784635,796149,313465,,0
784637,796151,313466,,0
784638,796152,313465,,1
784641,796155,313378,,0
784644,796158,313462,,0
784645,796160,313460,,1
784646,796162,313378,,0
784647,796164,313383,,0
784666,796185,313378,,0
784679,796199,313362,,0
784685,796207,313477,,0
784686,796208,313478,,0
784687,796209,313477,,1
784688,796210,313478,,1
784689,796211,313479,,0
784690,796212,313480,,0
784692,796214,313481,,0
784693,796215,313482,,0
784694,796216,313479,,1
784695,796217,313480,,1
784696,796218,313481,,1
784697,796219,313482,,1
784698,796220,313477,,1
784701,796223,313338,,0
784702,796224,313477,,1
784704,796226,313478,,1
784705,796227,313356,,0
784706,796228,313479,,1
784707,796229,313478,,1
784708,796230,313479,,1
784709,796231,313480,,1
784710,796232,313480,,1
784711,796233,313481,,1
784712,796234,313482,,1
784713,796235,313481,,1
784714,796236,313482,,1
784715,796237,313361,,0
784716,796238,313473,,0
784717,796239,313471,,0
784718,796240,313462,,1
784719,796241,313461,,1
784720,796242,313472,,0
784721,796243,313460,,1
784722,796244,313461,,1
784723,796245,313465,,1
784724,796246,313473,,1
784725,796248,313462,,1
784726,796249,313474,,0
784727,796250,313463,,0
784728,796251,313471,,1
784729,796252,313466,,1
784730,796253,313474,,1
784731,796254,313472,,1
784732,796255,313475,,0
784733,796256,313475,,1
784734,796257,313476,,0
784735,796258,313473,,1
784736,796259,313363,,0
784737,796260,313464,,1
784738,796261,313476,,1
784739,796262,313366,,0
784740,796264,313474,,1
784741,796265,313475,,1
784742,796266,313476,,1
784743,796267,313476,,1
784744,796268,313471,,1
784745,796269,313472,,1
784746,796270,313471,,1
784748,796272,313472,,1
784749,796273,313473,,1
784750,796274,313474,,1
784751,796275,313469,,0
784752,796276,313383,,0
784753,796277,313460,,1
784754,796278,313475,,1
784755,796279,313460,,1
784756,796280,313461,,1
784758,796282,313339,,0
784759,796284,313461,,1
784760,796285,313341,,0
784761,796286,313470,,0
784762,796287,313337,,0
784763,796288,313470,,0
784764,796289,313465,,1
784765,796290,313359,,0
784766,796291,313465,,1
784768,796293,313466,,1
784769,796294,313466,,1
784770,796295,313458,,0
784771,796296,313458,,0
784772,796297,313467,,0
784773,796298,313467,,0
784774,796299,313468,,0
784775,796300,313468,,0
784777,796302,313468,,0
784778,796303,313468,,0
784779,796304,313468,,0
784780,796305,313367,,0
784781,796306,313458,,0
784782,796307,313360,,0
784783,796308,313468,,0
784784,796309,313467,,0
784785,796310,313467,,0
784786,796311,313467,,0
784787,796312,313339,,0
784788,796313,313343,,0
784789,796314,313467,,0
784790,796315,313469,,0
784791,796316,313469,,0
784792,796317,313469,,0
784793,796318,313459,,0
784794,796320,313469,,0
784795,796321,313470,,0
784796,796322,313470,,0
784797,796323,313470,,0
784798,796324,313470,,0
784799,796325,313469,,0
784800,796326,313469,,0
784801,796327,313469,,0
784802,796328,313469,,0
784803,796330,313459,,0
784804,796331,313459,,0
784805,796332,313468,,0
784806,796333,313468,,0
784807,796335,313394,,0
784808,796336,313470,,0
784809,796337,313470,,0
784810,796339,313380,,0
784811,796340,313458,,0
784812,796341,313458,,0
784813,796342,313459,,0
784814,796343,313459,,0
784815,796344,313459,,0
784816,796345,313460,,1
784818,796347,313357,,0
784819,796348,313460,,1
784821,796350,313460,,1
784822,796351,313460,,1
784824,796353,313467,,0
784826,796355,313467,,0
784827,796356,313468,,0
784828,796357,313468,,0
784829,796358,313468,,0
784832,796361,313465,,1
784833,796362,313384,,0
784834,796363,313465,,1
784835,796364,313463,,0
784836,796365,313381,,0
784837,796366,313463,,0
784843,796372,313355,,0
784844,796373,313458,,0
784845,796374,313458,,0
784846,796375,313459,,0
784847,796376,313459,,0
784848,796377,313461,,1
784849,796378,313461,,1
784850,796379,313462,,1
784852,796381,313462,,1
784854,796383,313463,,0
784855,796384,313463,,0
784856,796385,313463,,0
784857,796386,313463,,0
784860,796389,313358,,0
784861,796394,313377,,0
784862,796394,313384,,0
784864,796398,313463,,0
784865,796400,313463,,0
784866,796401,313463,,0
784868,796404,313460,,1
784869,796405,313460,,1
784870,796406,313461,,1
784871,796407,313461,,1
784872,796408,313461,,1
784874,796410,313462,,1
784875,796411,313462,,1
784878,796414,313466,,1
784879,796415,313379,,0
784882,796418,313461,,1
784883,796419,313461,,1
784884,796420,313461,,1
784885,796421,313465,,1
784886,796422,313465,,1
784888,796425,313464,,1
784889,796426,313464,,1
784892,796430,313385,,0
784898,796441,313393,,1
784899,796442,313379,,0
784900,796443,313393,,1
784905,796448,313368,,0
784907,796450,313385,,0
784908,796451,313376,,0
784909,796452,313393,,1
784912,796455,313440,,0
784913,796456,313437,,0
784914,796457,313442,,0
784915,796459,313437,,0
784917,796461,313368,,0
784918,796462,313487,,0
784919,796463,313493,,0
784922,796467,313380,,0
784923,796467,313385,,0
784924,796469,313493,,1
784926,796471,313494,,0
784927,796472,313485,,0
784928,796473,313497,,0
784930,796475,313385,,0
784931,796476,313499,,0
784932,796477,313483,,0
784933,796478,313483,,1
784934,796479,313393,,1
784935,796480,313484,,0
784936,796484,313393,,1
784937,796485,313450,,0
784938,796486,313499,,1
784939,796487,313393,,1
784940,796488,313443,,0
784941,796489,313450,,0
784942,796490,313450,,0
784943,796491,313344,,0
784944,796492,313450,,0
784945,796493,313450,,0
784946,796494,313500,,0
784947,796495,313451,,0
784948,796496,313448,,0
784949,796497,313448,,0
784950,796498,313500,,1
784951,796499,313438,,0
784952,796500,313494,,1
784953,796501,313495,,0
784954,796502,313496,,0
784955,796503,313498,,0
784956,796504,313488,,0
784957,796505,313377,,0
784958,796506,313486,,0
784959,796507,313498,,1
784960,796508,313438,,0
784961,796509,313445,,0
784962,796510,313495,,1
784963,796511,313435,,0
784964,796512,313496,,1
784965,796513,313484,,1
784966,796514,313445,,0
784967,796515,313487,,1
784968,796516,313443,,0
784969,796517,313445,,0
784970,796518,313385,,0
784971,796519,313488,,1
784973,796521,313445,,0
784974,796522,313445,,0
784975,796523,313446,,0
784976,796524,313446,,0
784977,796525,313367,,0
784978,796526,313447,,0
784979,796527,313447,,0
784980,796528,313497,,1
784981,796529,313485,,1
784982,796530,313395,,1
784983,796531,313395,,1
784984,796532,313486,,1
784985,796533,313398,,1
784986,796534,313398,,1
784987,796535,313442,,0
784988,796536,313393,,1
784989,796537,313345,,0
784990,796538,313493,,1
784991,796539,313494,,1
784992,796542,313495,,1
784993,796543,313346,,0
784994,796544,313376,,0
784995,796544,313383,,0
784996,796548,313493,,1
784997,796549,313494,,1
784998,796550,313390,,0
785000,796552,313347,,0
785001,796553,313440,,0
785002,796554,313445,,0
785003,796555,313445,,0
785004,796556,313444,,0
785005,796557,313448,,0
785006,796558,313448,,0
785007,796559,313379,,0
785009,796563,313450,,0
785010,796565,313449,,0
785011,796566,313449,,0
785012,796567,313391,,0
785013,796568,313454,,0
785014,796569,313348,,0
785015,796570,313454,,0
785016,796571,313454,,0
785017,796572,313452,,0
785018,796573,313452,,0
785019,796574,313456,,0
785020,796575,313392,,0
785021,796576,313456,,0
785022,796577,313452,,0
785023,796578,313452,,0
785024,796579,313454,,0
785025,796580,313454,,0
785026,796581,313366,,0
785027,796582,313453,,0
785028,796583,313453,,0
785029,796584,313453,,0
785030,796585,313454,,0
785031,796586,313349,,0
785032,796587,313454,,0
785033,796588,313455,,0
785034,796589,313455,,0
785035,796590,313495,,1
785036,796591,313394,,0
785037,796592,313496,,1
785038,796593,313496,,1
785039,796594,313483,,1
785040,796595,313485,,1
785041,796596,313456,,0
785042,796597,313456,,0
785043,796598,313452,,0
785044,796599,313452,,0
785045,796600,313456,,0
785046,796601,313456,,0
785047,796602,313452,,0
785048,796603,313350,,0
785049,796604,313457,,0
785050,796605,313457,,0
785051,796606,313453,,0
785052,796607,313453,,0
785053,796608,313351,,0
785054,796609,313457,,0
785055,796610,313457,,0
785056,796611,313457,,0
785057,796612,313455,,0
785058,796613,313455,,0
785059,796614,313454,,0
785060,796615,313487,,1
785061,796616,313365,,0
785062,796617,313454,,0
785063,796618,313484,,1
785064,796619,313499,,1
785065,796620,313483,,1
785066,796621,313455,,0
785067,796622,313497,,1
785068,796623,313485,,1
785069,796624,313497,,1
785070,796625,313436,,0
785071,796626,313486,,1
785072,796627,313499,,1
785074,796629,313487,,1
785075,796630,313498,,1
785076,796631,313488,,1
785077,796632,313500,,1
785078,796633,313446,,0
785079,796634,313444,,0
785080,796635,313392,,0
785081,796636,313444,,0
785082,796637,313394,,0
785083,796638,313484,,1
785084,796639,313445,,0
785085,796640,313445,,0
785086,796641,313446,,0
785087,796642,313498,,1
785088,796643,313445,,0
785089,796644,313447,,0
785090,796645,313447,,0
785091,796646,313488,,1
785092,796647,313446,,0
785093,796648,313500,,1
785094,796649,313446,,0
785095,796650,313447,,0
785096,796651,313447,,0
785097,796652,313447,,0
785098,796653,313391,,0
785099,796654,313448,,0
785100,796655,313439,,0
785101,796656,313449,,0
785102,796657,313449,,0
785103,796658,313449,,0
785104,796659,313449,,0
785105,796660,313449,,0
785106,796661,313449,,0
785107,796662,313490,,0
785108,796663,313449,,0
785109,796664,313443,,0
785110,796665,313443,,0
785111,796666,313450,,0
785112,796667,313489,,0
785113,796668,313450,,0
785114,796669,313451,,0
785115,796670,313451,,0
785116,796671,313451,,0
785117,796672,313490,,1
785118,796673,313451,,0
785119,796674,313447,,0
785120,796675,313447,,0
785121,796676,313489,,1
785122,796677,313447,,0
785123,796678,313447,,0
785124,796679,313451,,0
785125,796680,313451,,0
785126,796681,313449,,0
785127,796682,313490,,1
785128,796683,313364,,0
785129,796684,313491,,0
785130,796685,313443,,0
785131,796686,313443,,0
785132,796687,313443,,0
785133,796688,313491,,1
785134,796689,313443,,0
785135,796690,313492,,0
785136,796691,313490,,1
785137,796692,313492,,1
785138,796693,313489,,1
785139,796694,313489,,1
785140,796695,313456,,0
785141,796696,313456,,0
785142,796697,313491,,1
785143,796698,313492,,1
785144,796699,313491,,1
785145,796700,313492,,1
785146,796701,313454,,0
785147,796702,313454,,0
785148,796703,313454,,0
785149,796704,313558,,0
785150,0,313558,,0
785151,0,313558,,0
785152,796707,313558,,0
785153,796708,313567,,0
785154,796709,313567,,0
785155,796710,313558,,0
785156,796711,313558,,0
785157,796712,313558,,0
785158,796713,313558,,0
785159,796714,313519,,0
785160,796715,313519,,0
785161,796716,313568,,0
785162,796717,313568,,0
785163,796718,313396,,0
785164,796719,313460,,0
785165,796720,313397,,0
785172,796727,313455,,0
785173,796730,313455,,0
785174,796731,313455,,0
785175,796732,313455,,0
785176,796733,313369,,0
785177,796734,313455,,0
785178,796736,313391,,0
785179,796738,313390,,0
785180,796740,313392,,0
785181,796742,313394,,0
785182,796744,313377,,0
785183,796744,313384,,0
785184,796747,313454,,0
785185,796748,313397,,0
785186,796750,313396,,0
785187,796751,313383,,0
785188,796753,313379,,0
785189,796754,313385,,0
785190,796755,313378,,0
785191,796756,313352,,0
785192,796758,313397,,0
785193,796760,313384,,0
785194,796762,313370,,0
785195,796764,313396,,0
785196,796767,313569,,0
785197,796769,313515,,0
785198,796774,313520,,0
785199,796775,313519,,0
785200,796776,313567,,0
785201,796778,313370,,0
785202,796780,313558,,0
785203,796782,313353,,0
785204,796783,313558,,1
785205,796785,313369,,0
785206,796786,313516,,0
785207,796788,313515,,1
785208,796789,313520,,1
785209,796791,313520,,1
785210,796793,313567,,1
785211,796797,313568,,0
785212,796798,313522,,0
785213,796800,313371,,0
785214,796801,313569,,1
785215,796803,313569,,1
785216,796805,313518,,0
785217,796807,313371,,0
785218,796808,313516,,1
785219,796809,313354,,0
785220,796811,313517,,0
785221,796813,313518,,1
785222,796817,313567,,1
785223,796819,313522,,1
785224,796821,313518,,1
785225,796823,313568,,1
785226,796825,313519,,1
785227,796826,313595,,0
785228,796829,313520,,1
785229,796831,313579,,0
785230,796832,313522,,1
785231,796834,313517,,1
785232,796835,313574,,0
785234,796838,313517,,1
785235,796841,313575,,0
785236,796842,313519,,1
785237,796844,313567,,1
785238,796847,313579,,1
785239,796848,313580,,0
785240,796849,313353,,0
785241,796850,313399,,0
785242,796851,313354,,0
785243,796852,313521,,0
785244,796854,313516,,1
785245,796856,313558,,1
785246,796858,313585,,0
785247,796859,313521,,1
785249,796863,313594,,0
785250,796864,313593,,0
785251,796865,313521,,1
785252,796867,313594,,1
785253,796868,313568,,1
785254,796870,313593,,1
785255,796871,313558,,1
785256,796873,313521,,1
785257,796875,313585,,1
785258,796876,313581,,0
785259,796877,313569,,1
785260,796879,313570,,0
785261,796880,313516,,1
785262,796882,313404,,0
785263,796884,313399,,0
785264,796885,313571,,0
785265,796886,313568,,1
785266,796888,313570,,1
785267,796889,313518,,1
785268,796891,313571,,1
785269,796892,313515,,1
785270,796894,313515,,1
785271,796896,313372,,0
785272,796897,313522,,1
785273,796899,313519,,1
785274,796900,313393,,0
785275,796901,313372,,0
785276,796902,313393,,0
785277,796903,313566,,0
785278,796905,313506,,0
785279,796907,313564,,0
785280,796909,313393,,0
785281,796911,313553,,0
785282,796913,313405,,0
785283,796914,313553,,1
785284,796916,313398,,0
785285,796917,313513,,0
785286,796918,313512,,0
785287,796920,313395,,0
785288,796921,313508,,0
785289,796922,313395,,0
785290,796923,313582,,0
785291,796924,313395,,0
785292,796925,313562,,0
785293,796929,313404,,0
785294,796930,313562,,1
785295,796931,313583,,0
785296,796933,313576,,0
785297,796934,313502,,0
785298,796936,313576,,1
785299,796937,313574,,1
785301,796939,313577,,0
785302,796942,313580,,1
785303,796943,313506,,1
785304,796945,313581,,1
785305,796946,313582,,1
785306,796947,313387,,0
785307,796948,313575,,1
785308,796949,313577,,1
785309,796950,313585,,1
785310,796951,313398,,0
785311,796952,313593,,1
785312,796953,313595,,1
785313,796954,313595,,1
785314,796955,313389,,0
785315,796956,313441,,0
785316,796957,313593,,1
785317,796958,313405,,0
785318,796959,313594,,1
785320,796961,313513,,1
785321,796962,313594,,1
785322,796963,313406,,0
785323,796965,313595,,1
785324,796967,313508,,1
785325,796970,313441,,0
785326,796971,313572,,0
785327,796972,313564,,1
785328,796973,313579,,1
785329,796975,313563,,0
785330,796977,313580,,1
785331,796978,313574,,1
785332,796979,313506,,1
785333,796981,313508,,1
785334,796983,313503,,0
785335,796985,313562,,1
785336,796987,313507,,0
785337,796989,313583,,1
785338,796990,313564,,1
785339,796992,313579,,1
785340,796993,313507,,1
785341,796995,313576,,1
785342,796996,313513,,1
785343,796998,313575,,1
785344,796999,313578,,0
785345,797000,313506,,1
785346,797002,313564,,1
785347,797003,313581,,1
785348,797006,313509,,0
785349,797007,313582,,1
785350,797008,313403,,0
785351,797009,313574,,1
785352,797010,313400,,0
785353,797011,313578,,1
785354,797012,313563,,1
785355,797015,313583,,1
785356,797016,313509,,1
785357,797018,313584,,0
785358,797019,313512,,1
785359,797021,313570,,1
785360,797022,313572,,1
785361,797023,313502,,1
785362,797025,313565,,0
785363,797026,313576,,1
785364,797028,313577,,1
785365,797029,313509,,1
785366,797031,313565,,1
785367,797033,313570,,1
785368,797034,313511,,0
785369,797036,313513,,1
785370,797037,313584,,1
785371,797038,313502,,1
785372,797040,313580,,1
785373,797041,313406,,0
785374,797042,313562,,1
785375,797044,313581,,1
785376,797045,313507,,1
785377,797047,313565,,1
785378,797049,313505,,0
785379,797051,313571,,1
785380,797052,313512,,1
785381,797054,313398,,0
785382,797056,313573,,0
785383,797057,313582,,1
785384,797058,313510,,0
785385,797059,313577,,1
785386,797060,313594,,1
785387,797061,313593,,1
785388,797063,313503,,1
785389,797065,313514,,0
785390,797066,313575,,1
785391,797068,313514,,1
785392,797071,313584,,1
785393,797072,313553,,1
785394,797074,313400,,0
785395,797075,313583,,1
785396,797077,313510,,1
785397,797079,313584,,1
785399,797081,313505,,1
785400,797083,313572,,1
785401,797084,313573,,1
785402,797085,313566,,1
785403,797086,313578,,1
785404,797087,313505,,1
785405,797089,313578,,1
785406,797090,313563,,1
785407,797092,313503,,1
785408,797093,313571,,1
785409,797095,313510,,1
785411,797097,313514,,1
785412,797099,313572,,1
785413,797100,313566,,1
785414,797103,313573,,1
785415,797104,313504,,0
785416,797106,313563,,1
785417,797108,313573,,1
785418,797109,313504,,1
785419,797110,313401,,0
785420,797111,313403,,0
785421,797113,313501,,0
785422,797115,313596,,0
785423,797116,313514,,1
785424,797118,313596,,1
785425,797119,313596,,1
785426,797120,313566,,1
785427,797122,313395,,0
785428,797123,313393,,0
785429,797126,313596,,1
785430,797127,313391,,0
785431,797128,313390,,0
785432,797129,313501,,1
785433,797130,313392,,0
785434,797133,313407,,0
785435,797134,313394,,0
785436,797137,313396,,0
785437,797138,313505,,1
785438,797140,313504,,1
785439,797142,313397,,0
785441,797145,313565,,1
785442,797147,313504,,1
785443,797149,313509,,1
785444,797151,313398,,0
785445,797153,313507,,1
785446,797155,313501,,1
785447,797156,313407,,0
785448,797158,313553,,1
785449,797160,313502,,1
785450,797162,313508,,1
785451,797164,313501,,1
785452,797167,313511,,1
785453,797169,313511,,1
785454,797171,313511,,1
785455,797173,313510,,1
785456,797177,313503,,1
785457,797178,313401,,0
