"Indeks","IndeksSkanu","IndeksZlecenia","IndeksDodatka","Duplicated"
805906,825733,315859,,0
805907,825734,316249,,1
805908,825735,315659,,0
805909,825736,316247,,0
805910,825737,316247,,1
805911,825738,316247,,1
805912,825739,315858,,0
805913,825740,316247,,1
805914,825741,314912,,0
805915,825744,314885,,0
805916,825747,316042,,0
805917,825748,316188,,1
805918,825749,316188,,1
805919,825750,314883,,0
805920,825752,314915,,0
805921,825753,316188,,1
805922,825756,316250,,0
805923,825757,316250,,1
805924,825758,314888,,0
805925,825759,316250,,1
805926,825760,316013,,0
805927,825762,314914,,0
805928,825764,316250,,1
805929,825771,316254,,0
805930,825772,316254,,1
805931,825773,315657,,0
805932,825773,315658,,0
805933,825773,315659,,0
805934,825774,316256,,0
805935,825775,316256,,1
805936,825776,316256,,1
805937,825777,316256,,1
805938,825778,316043,,0
805939,825779,316117,,0
805940,825780,314911,,0
805941,825783,314887,,0
805942,825786,315606,,0
805943,825787,316044,,0
805944,825788,316255,,0
805945,825789,316255,,1
805946,825790,315988,,0
805947,825791,316255,,1
805948,825792,316255,,1
805949,825793,316251,,0
805950,825794,316251,,1
805951,825795,316257,,0
805952,825796,316251,,1
805953,825797,316251,,1
805954,825798,316257,,1
805955,825799,316257,,1
805956,825800,316257,,1
805957,825801,316252,,0
805958,825802,316252,,1
805959,825803,316252,,1
805960,825804,316253,,0
805961,825805,316253,,1
805962,825806,316253,,1
805963,825807,316252,,1
805964,825808,316253,,1
805965,825809,316254,,1
805966,825810,316254,,1
805967,825811,316254,,1
805968,825812,316254,,1
805969,825814,314890,,0
805970,825817,314941,,0
805971,825819,315988,,0
805972,825820,314878,,0
805973,825820,314977,,0
805974,825821,314872,,0
805975,825821,314971,,0
805976,825822,314875,,0
805977,825822,314974,,0
805978,825824,314856,,0
805979,825824,314955,,0
805980,825826,314857,,0
805981,825826,314956,,0
805982,825828,314869,,0
805983,825828,314968,,0
805984,825829,314866,,0
805985,825829,314965,,0
805986,825830,314867,,0
805987,825830,314966,,0
805988,825831,314873,,0
805989,825831,314972,,0
805990,825833,314877,,0
805991,825833,314976,,0
805992,825834,314882,,0
805993,825834,314981,,0
805994,825835,314863,,0
805995,825835,314962,,0
805996,825836,315605,,0
805997,825837,315567,,0
805998,825838,315602,,0
805999,825841,316003,,0
806000,825844,315603,,0
806001,825846,315136,,0
806002,825846,315137,,0
806003,825848,315510,,0
806004,825850,315509,,0
806005,825852,315508,,0
806006,825854,315516,,0
806007,825854,315518,,0
806008,825857,316106,,0
806009,825858,316026,,0
806010,825860,314949,,0
